"id";"src";"type";"alt";"width";"height";"title";"description";"data-tags";"date";"category";"active";"poster"
1;"https://hollyngrade.com/dogs/01-adoption/1.webp";"image";"";1920;1434;"";"";"";"2012-02-17T14:44:40.000Z";"01-adoption";1;""
2;"https://hollyngrade.com/dogs/01-adoption/100.webp";"image";"";1920;1440;"";"";"";"2012-02-20T11:22:41.000Z";"01-adoption";1;""
3;"https://hollyngrade.com/dogs/01-adoption/103.webp";"image";"";1440;1920;"";"";"";"2012-02-20T22:10:30.000Z";"01-adoption";1;""
4;"https://hollyngrade.com/dogs/01-adoption/104.webp";"image";"";1920;1440;"";"";"";"2012-02-21T21:46:43.000Z";"01-adoption";1;""
5;"https://hollyngrade.com/dogs/01-adoption/112.webp";"image";"";1920;1440;"";"";"";"2012-02-25T12:17:55.000Z";"01-adoption";1;""
6;"https://hollyngrade.com/dogs/01-adoption/136.webp";"image";"";1440;1920;"";"";"";"2012-02-29T20:48:07.000Z";"01-adoption";1;""
7;"https://hollyngrade.com/dogs/01-adoption/179.webp";"image";"";1280;956;"";"";"";"2012-03-16T10:51:26.000Z";"01-adoption";1;""
8;"https://hollyngrade.com/dogs/01-adoption/2.webp";"image";"";1920;1434;"";"";"";"2012-02-17T14:44:50.000Z";"01-adoption";1;""
9;"https://hollyngrade.com/dogs/02-meetingKoda/152.webp";"image";"";1920;1440;"";"";"";"2012-03-03T14:03:21.000Z";"02-meetingKoda";1;""
10;"https://hollyngrade.com/dogs/02-meetingKoda/babies.webp";"image";"";1280;956;"";"";"";"2012-03-30T16:00:27.000Z";"02-meetingKoda";1;""
11;"https://hollyngrade.com/dogs/02-meetingKoda/iphone 010.webp";"image";"";1440;1920;"";"";"";"2012-03-16T18:13:56.000Z";"02-meetingKoda";1;""
12;"https://hollyngrade.com/dogs/02-meetingKoda/iphone 013.webp";"image";"";1439;1920;"";"";"";"2012-03-16T18:14:20.000Z";"02-meetingKoda";1;""
13;"https://hollyngrade.com/dogs/02-meetingKoda/iphone 020.webp";"image";"";1439;1920;"";"";"";"2012-03-16T18:15:32.000Z";"02-meetingKoda";1;""
14;"https://hollyngrade.com/dogs/02-meetingKoda/iphone 021.webp";"image";"";1920;1440;"";"";"";"2012-03-16T18:16:49.000Z";"02-meetingKoda";1;""
15;"https://hollyngrade.com/dogs/02-meetingKoda/iphone 036.webp";"image";"";1920;1440;"";"";"";"2012-03-17T20:06:43.000Z";"02-meetingKoda";1;""
16;"https://hollyngrade.com/dogs/03-firstYear/iphone 053.webp";"image";"";1920;1440;"";"";"";"2012-03-24T13:50:09.000Z";"03-firstYear";1;""
17;"https://hollyngrade.com/dogs/03-firstYear/iphone 062.webp";"image";"";1920;1440;"";"";"";"2012-03-25T18:59:31.000Z";"03-firstYear";1;""
18;"https://hollyngrade.com/dogs/03-firstYear/iphone 066.webp";"image";"";1920;1439;"";"";"";"2012-03-25T19:02:00.000Z";"03-firstYear";1;""
19;"https://hollyngrade.com/dogs/03-firstYear/iphone 154.webp";"image";"";1920;1440;"";"";"";"2012-04-18T18:26:41.000Z";"03-firstYear";1;""
20;"https://hollyngrade.com/dogs/03-firstYear/iphone 198.webp";"image";"";1440;1920;"";"";"";"2012-04-22T13:54:54.000Z";"03-firstYear";1;""
21;"https://hollyngrade.com/dogs/04-woodsWithMe/Chasm 2.webp";"image";"";1129;1512;"";"";"";"2012-07-04T19:21:41.000Z";"04-woodsWithMe";1;""
22;"https://hollyngrade.com/dogs/04-woodsWithMe/Chasm 3.webp";"image";"";1434;1920;"";"";"";"2012-07-14T15:35:30.000Z";"04-woodsWithMe";1;""
23;"https://hollyngrade.com/dogs/04-woodsWithMe/Chasm 4.webp";"image";"";1440;1920;"";"";"";"2013-07-08T16:46:28.000Z";"04-woodsWithMe";1;""
24;"https://hollyngrade.com/dogs/04-woodsWithMe/Chasm twins.webp";"image";"";1440;1920;"";"";"";"2013-05-16T17:15:18.000Z";"04-woodsWithMe";1;""
25;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0102.webp";"image";"";1440;1920;"";"";"";"2013-07-04T16:10:36.000Z";"04-woodsWithMe";1;""
26;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0103.webp";"image";"";1920;1440;"";"";"";"2013-07-04T16:10:43.000Z";"04-woodsWithMe";1;""
27;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0104.webp";"image";"";1920;1440;"";"";"";"2013-07-04T16:10:46.000Z";"04-woodsWithMe";1;""
28;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0123.webp";"image";"";1200;1600;"";"";"";"2013-07-04T16:01:16.000Z";"04-woodsWithMe";1;""
29;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0155.webp";"image";"";1600;1200;"";"";"";"2013-07-07T20:04:13.000Z";"04-woodsWithMe";1;""
30;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0156.webp";"image";"";1600;1200;"";"";"";"2013-07-07T20:04:15.000Z";"04-woodsWithMe";1;""
31;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0189.webp";"image";"";1920;1440;"";"";"";"2013-07-09T10:16:44.000Z";"04-woodsWithMe";1;""
32;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0190.webp";"image";"";1440;1920;"";"";"";"2013-07-09T12:18:40.000Z";"04-woodsWithMe";1;""
33;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0311.webp";"image";"";1200;1600;"";"";"";"2013-07-21T01:14:45.000Z";"04-woodsWithMe";1;""
34;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0311b.webp";"image";"";960;640;"";"";"";"2013-04-26T01:15:13.000Z";"04-woodsWithMe";1;""
35;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0383.webp";"image";"";1920;1440;"";"";"";"2013-08-01T12:54:33.000Z";"04-woodsWithMe";1;""
36;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0384.webp";"image";"";1440;1920;"";"";"";"2013-08-01T12:54:42.000Z";"04-woodsWithMe";1;""
37;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0392.webp";"image";"";1600;1200;"";"";"";"2013-08-02T01:15:39.000Z";"04-woodsWithMe";1;""
38;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_0426.webp";"image";"";1920;1440;"";"";"";"2013-08-05T01:16:08.000Z";"04-woodsWithMe";1;""
39;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_7199.webp";"image";"";768;1024;"";"";"";"2012-07-06T19:30:30.000Z";"04-woodsWithMe";1;""
40;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_7316.webp";"image";"";1920;1434;"";"";"";"2012-07-14T10:38:16.000Z";"04-woodsWithMe";1;""
41;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_7321.webp";"image";"";1920;1434;"";"";"";"2012-07-14T11:29:31.000Z";"04-woodsWithMe";1;""
42;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_7326_lightened.webp";"image";"";960;1280;"";"";"";"2012-07-14T11:24:30.000Z";"04-woodsWithMe";1;""
43;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_7327.webp";"image";"";1434;1920;"";"";"";"2012-07-14T16:03:20.000Z";"04-woodsWithMe";1;""
44;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8592.webp";"image";"";1920;1440;"";"";"";"2012-11-16T09:58:47.000Z";"04-woodsWithMe";1;""
45;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8593.webp";"image";"";1920;1440;"";"";"";"2012-11-16T09:58:53.000Z";"04-woodsWithMe";1;""
46;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8624.webp";"image";"";1920;1440;"";"";"";"2012-11-19T08:21:56.000Z";"04-woodsWithMe";1;""
47;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8661.webp";"image";"";1920;1434;"";"";"";"2012-11-24T22:33:29.000Z";"04-woodsWithMe";1;""
48;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8677.webp";"image";"";1920;1434;"";"";"";"2012-11-30T12:54:11.000Z";"04-woodsWithMe";1;""
49;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8710.webp";"image";"";1920;1434;"";"";"";"2012-12-02T20:56:33.000Z";"04-woodsWithMe";1;""
50;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8720.webp";"image";"";1200;1600;"";"";"";"2012-12-03T08:24:03.000Z";"04-woodsWithMe";1;""
51;"https://hollyngrade.com/dogs/04-woodsWithMe/IMG_8723.webp";"image";"";1440;1920;"";"";"";"2012-12-03T21:47:51.000Z";"04-woodsWithMe";1;""
